Timestamp,OS,Arch,CPU,hostd Version,Upload Speed,Download Speed,Append Sector P99,Read Sector P99,Read Sector TTFB
2024-10-26T05:44:45Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241022083902-7d61fc09be7c,712.7891 Mbps,1948.2556 Mbps,51 ms,20 ms,13 ms
2024-10-26T05:55:33Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241022083902-7d61fc09be7c,707.4929 Mbps,1764.6802 Mbps,51 ms,25 ms,18 ms
2024-10-26T18:28:04Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241026181511-878994988c26,717.2426 Mbps,1562.0404 Mbps,54 ms,26 ms,19 ms
2024-10-27T17:46:21Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241026181511-878994988c26,727.6926 Mbps,1505.6700 Mbps,52 ms,28 ms,21 ms
2024-10-27T20:23:39Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241026181511-878994988c26,727.1513 Mbps,1514.7622 Mbps,50 ms,27 ms,20 ms
2024-10-27T22:03:12Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241026181511-878994988c26,697.3334 Mbps,1411.0932 Mbps,56 ms,32 ms,25 ms
2024-10-28T00:21:57Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241027224440-bc406c086b3c,692.1180 Mbps,1404.6172 Mbps,58 ms,31 ms,24 ms
2024-10-28T03:14:48Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241027224440-bc406c086b3c,697.5266 Mbps,1449.0386 Mbps,55 ms,32 ms,25 ms
2024-10-28T06:08:34Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241027224440-bc406c086b3c,690.5272 Mbps,1451.6235 Mbps,58 ms,30 ms,24 ms
2024-10-28T09:07:35Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241027224440-bc406c086b3c,686.0453 Mbps,1432.2681 Mbps,60 ms,32 ms,25 ms
2024-10-28T15:55:55Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,706.1045 Mbps,1395.4938 Mbps,55 ms,33 ms,27 ms
2024-10-28T18:07:51Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,694.6005 Mbps,1411.5170 Mbps,57 ms,31 ms,24 ms
2024-10-28T21:06:21Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,700.8841 Mbps,1381.5407 Mbps,55 ms,32 ms,25 ms
2024-10-29T06:08:44Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,708.6756 Mbps,1391.1903 Mbps,53 ms,32 ms,26 ms
2024-10-29T09:07:01Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,700.5273 Mbps,1369.6112 Mbps,57 ms,32 ms,26 ms
2024-10-29T12:09:51Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,696.1808 Mbps,1402.8548 Mbps,58 ms,32 ms,25 ms
2024-10-30T17:06:08Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,688.7853 Mbps,1429.1990 Mbps,58 ms,31 ms,24 ms
2024-10-30T17:31:59Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,686.0787 Mbps,1388.9921 Mbps,57 ms,32 ms,25 ms
2024-10-30T20:00:47Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,687.0313 Mbps,1349.3178 Mbps,58 ms,34 ms,28 ms
2024-10-30T21:06:49Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,693.6803 Mbps,1429.1081 Mbps,58 ms,32 ms,25 ms
2024-10-31T00:20:58Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,705.9664 Mbps,1421.4855 Mbps,57 ms,31 ms,25 ms
2024-10-31T03:13:07Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,701.8547 Mbps,1401.2907 Mbps,58 ms,32 ms,25 ms
2024-10-31T06:08:19Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,688.3358 Mbps,1427.0105 Mbps,59 ms,33 ms,27 ms
2024-10-31T09:07:09Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,699.4896 Mbps,1415.4085 Mbps,58 ms,33 ms,26 ms
2024-11-01T23:25:31Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241101225313-7757ddcfc23f,701.9404 Mbps,1861.7546 Mbps,56 ms,21 ms,14 ms
2024-11-02T00:20:21Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241101225313-7757ddcfc23f,698.2543 Mbps,1805.6405 Mbps,58 ms,28 ms,22 ms
