Timestamp,OS,Arch,CPU,hostd Version,Upload Speed,Download Speed,Append Sector P99,Read Sector P99,Read Sector TTFB
2024-10-26T15:48:05Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241026011256-0583e159b20e,307.5052 Mbps,1302.3054 Mbps,116 ms,36 ms,21 ms
2024-10-26T16:25:40Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241026011256-0583e159b20e,308.9641 Mbps,1317.2951 Mbps,115 ms,37 ms,19 ms
2024-10-26T18:27:23Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241026181511-878994988c26,309.8070 Mbps,1568.8267 Mbps,115 ms,25 ms,10 ms
2024-10-27T17:45:40Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241026181511-878994988c26,311.3013 Mbps,1568.2471 Mbps,115 ms,26 ms,10 ms
2024-10-27T20:22:58Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241026181511-878994988c26,310.7425 Mbps,1571.2327 Mbps,114 ms,24 ms,9 ms
2024-10-27T22:02:36Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241026181511-878994988c26,310.9778 Mbps,1568.9046 Mbps,115 ms,25 ms,9 ms
2024-10-28T00:21:20Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241027224440-bc406c086b3c,313.5038 Mbps,1570.2922 Mbps,113 ms,26 ms,10 ms
2024-10-28T03:14:11Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241027224440-bc406c086b3c,311.1600 Mbps,1568.8978 Mbps,115 ms,26 ms,10 ms
2024-10-28T06:07:57Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241027224440-bc406c086b3c,312.8200 Mbps,1568.1685 Mbps,113 ms,25 ms,9 ms
2024-10-28T09:06:59Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241027224440-bc406c086b3c,313.9289 Mbps,1555.3845 Mbps,114 ms,25 ms,10 ms
2024-10-28T15:55:18Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,311.7202 Mbps,1561.2195 Mbps,113 ms,26 ms,10 ms
2024-10-28T18:07:15Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,312.5681 Mbps,1563.9699 Mbps,113 ms,25 ms,9 ms
2024-10-28T21:05:44Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,313.8374 Mbps,1572.7237 Mbps,114 ms,24 ms,8 ms
2024-10-29T06:08:08Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,319.1145 Mbps,1592.2976 Mbps,111 ms,24 ms,8 ms
2024-10-29T09:06:24Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,311.3118 Mbps,1559.8389 Mbps,112 ms,26 ms,10 ms
2024-10-29T12:09:14Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,312.9550 Mbps,1576.1976 Mbps,113 ms,25 ms,9 ms
2024-10-30T17:05:31Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,309.3383 Mbps,1592.0913 Mbps,113 ms,24 ms,8 ms
2024-10-30T17:31:22Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,312.4936 Mbps,1604.4622 Mbps,113 ms,25 ms,9 ms
2024-10-30T20:00:10Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,309.4927 Mbps,1570.5341 Mbps,113 ms,26 ms,10 ms
2024-10-30T21:06:12Z,linux,amd64,AMD EPYC 7763 64-Core Processor,v1.1.3-0.20241028141324-e5eeff133133,302.9362 Mbps,1567.0064 Mbps,116 ms,26 ms,10 ms
